Date,chamber,leaf,T_treatment,Water_treatment,percent_starch,starch_mgg,percent_sugar,sugar_mgg,percent_TNC,TNC_mgg,leafarea_cm2,leafmass_g
2013-09-19,C04,2,elevated,control,31.60078171,316.0078171,9.363075326,93.63075326,40.96385704,409.6385704,31.76,0.4645
2013-09-19,C04,3,elevated,control,23.12567959,231.2567959,9.291317303,92.91317303,32.41699689,324.1699689,43.17,0.6285
2013-09-19,C05,1,ambient,control,15.9733228,159.733228,10.35722068,103.5722068,26.33054348,263.3054348,22.79,0.2746
2013-09-19,C05,2,ambient,control,21.58971092,215.8971092,9.480186885,94.80186885,31.0698978,310.698978,26.65,0.3513
2013-09-19,C05,3,ambient,control,26.41325268,264.1325268,10.33502202,103.3502202,36.7482747,367.482747,25.28,0.3876
2013-09-19,C06,1,elevated,control,14.34565209,143.4565209,11.82897234,118.2897234,26.17462443,261.7462443,33.6,0.3895
2013-09-19,C06,2,elevated,control,8.852148028,88.52148028,13.03588613,130.3588613,21.88803416,218.8803416,31.41,0.2714
2013-09-19,C06,3,elevated,control,14.84117634,148.4117634,9.968409715,99.68409715,24.80958606,248.0958606,43.87,0.5167
2013-09-19,C07,1,ambient,control,14.63850423,146.3850423,8.186813883,81.86813883,22.82531811,228.2531811,60.45,0.8063
2013-09-19,C07,2,ambient,control,24.75756456,247.5756456,8.697756543,86.97756543,33.4553211,334.553211,44.44,0.6871
2013-09-19,C07,3,ambient,control,24.12287859,241.2287859,9.497579869,94.97579869,33.62045846,336.2045846,49.52,0.7951
2013-09-19,C08,1,elevated,control,23.50168258,235.0168258,10.35881371,103.5881371,33.86049629,338.6049629,48.8,0.6966
2013-09-19,C08,2,elevated,control,17.72706028,177.2706028,9.881802827,98.81802827,27.6088631,276.088631,54.12,0.7469
2013-09-19,C08,3,elevated,control,24.74560752,247.4560752,9.051190599,90.51190599,33.79679812,337.9679812,45.33,0.6828
2013-09-19,C09,1,ambient,control,11.79943447,117.9943447,13.09606221,130.9606221,24.89549668,248.9549668,40.87,0.4643
2013-09-19,C09,2,ambient,control,11.1092478,111.092478,13.00635993,130.0635993,24.11560774,241.1560774,25.89,0.3532
2013-09-19,C09,3,ambient,control,9.931393085,99.31393085,11.73980857,117.3980857,21.67120165,216.7120165,44.01,0.405
2013-09-19,C10,1,elevated,control,11.45813808,114.5813808,10.00212579,100.0212579,21.46026387,214.6026387,31.35,0.3772
2013-09-19,C10,2,elevated,control,14.48930029,144.8930029,10.95651328,109.5651328,25.44581357,254.4581357,35.38,0.4443
2013-09-19,C10,3,elevated,control,11.77822917,117.7822917,9.562474797,95.62474797,21.34070396,213.4070396,42.4,0.5161
2013-09-19,C11,1,ambient,control,13.72674469,137.2674469,10.61010028,106.1010028,24.33684497,243.3684497,53.79,0.7187
2013-09-19,C11,2,ambient,control,13.29028578,132.9028578,9.568208572,95.68208572,22.85849435,228.5849435,36.31,0.5021
2013-09-19,C11,3,ambient,control,9.177173918,91.77173918,9.315008735,93.15008735,18.49218265,184.9218265,52.3,0.5574
2013-09-19,C12,1,elevated,control,16.30375701,163.0375701,8.250184272,82.50184272,24.55394129,245.5394129,33.35,0.4719
2013-09-19,C12,2,elevated,control,22.07504146,220.7504146,9.102580409,91.02580409,31.17762187,311.7762187,27.91,0.3881
2013-09-19,C12,3,elevated,control,20.53423675,205.3423675,9.825972093,98.25972093,30.36020885,303.6020885,45.35,0.6377
2013-10-15,C01,1,ambient,control,12.76740645,127.6740645,14.40460813,144.0460813,27.17201458,271.7201458,51.76,0.4987
2013-10-15,C01,2,ambient,control,15.35546499,153.5546499,14.56514634,145.6514634,29.92061133,299.2061133,42.28,0.4068
2013-10-15,C01,3,ambient,control,13.17340002,131.7340002,11.52142616,115.2142616,24.69482618,246.9482618,45.11,0.422
2013-10-15,C02,1,elevated,control,7.07485289,70.7485289,14.67763334,146.7763334,21.75248623,217.5248623,37.83,0.4112
2013-10-15,C02,2,elevated,control,8.767619329,87.67619329,14.27178922,142.7178922,23.03940855,230.3940855,40.05,0.3498
2013-10-15,C02,3,elevated,control,5.858488555,58.58488555,12.05576515,120.5576515,17.91425371,179.1425371,41.78,0.4232
