Sample Date,Time,Chamber,Canopy Position,Starch,Soluble Sugars,TNC
26/03/2014,14:00,C12,Lower,174.79,80.43,255.22
26/03/2014,14:00,C12,Upper,89.4,78.55,167.96
26/03/2014,16:00,C01,Lower,104.64,84.12,188.75
26/03/2014,16:00,C01,Upper,94.1,89.07,183.18
26/03/2014,16:00,C02,Lower,102.81,94.18,196.99
26/03/2014,16:00,C02,Upper,79.54,84.39,163.93
26/03/2014,16:00,C03,Lower,79.87,88.64,168.51
26/03/2014,16:00,C03,Upper,101.81,81.68,183.49
26/03/2014,16:00,C04,Lower,142.41,86.68,229.09
26/03/2014,16:00,C04,Upper,82.65,84.69,167.34
26/03/2014,16:00,C05,Lower,94.76,82.26,177.03
26/03/2014,16:00,C05,Upper,86.31,108.5,194.81
26/03/2014,16:00,C06,Lower,114.3,100.35,214.65
26/03/2014,16:00,C06,Upper,73.4,100.5,173.9
26/03/2014,16:00,C07,Lower,124.81,102.59,227.4
26/03/2014,16:00,C07,Upper,118.7,97.43,216.13
26/03/2014,16:00,C08,Lower,95.19,84.35,179.54
26/03/2014,16:00,C08,Upper,81.17,89.31,170.49
26/03/2014,16:00,C09,Lower,99.83,94.94,194.77
26/03/2014,16:00,C09,Upper,92.47,101.47,193.93
26/03/2014,16:00,C10,Lower,180.02,89.67,269.69
26/03/2014,16:00,C10,Upper,99.04,88.83,187.87
26/03/2014,16:00,C11,Lower,135.28,113.25,248.54
26/03/2014,16:00,C11,Upper,130.12,84.01,214.13
26/03/2014,16:00,C12,Lower,169.34,77.38,246.73
26/03/2014,16:00,C12,Upper,78.3,75.04,153.34
26/03/2014,18:00,C01,Lower,88.73,74.15,162.88
26/03/2014,18:00,C01,Upper,77.78,75.59,153.37
26/03/2014,18:00,C02,Lower,93.21,88.31,181.52
26/03/2014,18:00,C02,Upper,102.48,90.52,193
26/03/2014,18:00,C03,Lower,116.85,63.41,180.26
26/03/2014,18:00,C03,Upper,79.16,75.24,154.4
26/03/2014,18:00,C04,Lower,142.9,106.11,249.01
26/03/2014,18:00,C04,Upper,82.07,85.78,167.85
26/03/2014,18:00,C05,Lower,74.3,79.64,153.94
26/03/2014,18:00,C05,Upper,68.47,89.24,157.7
26/03/2014,18:00,C06,Lower,112.48,103.52,216
26/03/2014,18:00,C06,Upper,89.75,117.74,207.5
26/03/2014,18:00,C07,Lower,65.31,82.54,147.85
26/03/2014,18:00,C07,Upper,74.49,84.45,158.94
26/03/2014,18:00,C08,Lower,91.59,117.2,208.79
26/03/2014,18:00,C08,Upper,90.63,95.25,185.88
26/03/2014,18:00,C09,Lower,109.98,96.09,206.07
26/03/2014,18:00,C09,Upper,83.91,87.21,171.12
26/03/2014,18:00,C10,Lower,183.15,92.78,275.93
26/03/2014,18:00,C10,Upper,112.74,92.88,205.62
26/03/2014,18:00,C11,Lower,80.54,66.2,146.75
26/03/2014,18:00,C11,Upper,103.29,85.44,188.73
26/03/2014,18:00,C12,Lower,200.68,83.45,284.12
26/03/2014,18:00,C12,Upper,81.62,76.43,158.06
26/03/2014,20:00,C01,Lower,134.01,83.51,217.53
26/03/2014,20:00,C01,Upper,104.86,90.96,195.82
26/03/2014,20:00,C02,Lower,76.97,91.61,168.58
26/03/2014,20:00,C02,Upper,73.42,87.84,161.26
26/03/2014,20:00,C03,Lower,80.52,70.19,150.71
26/03/2014,20:00,C03,Upper,102.62,80.11,182.72
26/03/2014,20:00,C04,Lower,143.74,92.95,236.69
26/03/2014,20:00,C04,Upper,63.07,91.42,154.49
26/03/2014,20:00,C05,Lower,89.55,89.67,179.23
26/03/2014,20:00,C05,Upper,70.53,96.13,166.67
26/03/2014,20:00,C06,Lower,85,114.47,199.47
26/03/2014,20:00,C06,Upper,70.76,120.11,190.86
26/03/2014,20:00,C07,Lower,131.31,86.92,218.23
26/03/2014,20:00,C07,Upper,113.7,96.61,210.31
26/03/2014,20:00,C08,Lower,140.06,105.37,245.43
26/03/2014,20:00,C08,Upper,65.46,115.77,181.23
26/03/2014,20:00,C09,Lower,94.04,113.14,207.18
26/03/2014,20:00,C09,Upper,71.89,102.33,174.22
26/03/2014,20:00,C10,Lower,145.97,130.53,276.5
26/03/2014,20:00,C10,Upper,86.39,91.38,177.77
26/03/2014,20:00,C11,Lower,88.58,90.26,178.83
26/03/2014,20:00,C11,Upper,114.08,81.57,195.65
26/03/2014,20:00,C12,Lower,139.25,97.5,236.75
26/03/2014,20:00,C12,Upper,84.42,84.04,168.46
